"benefits","associations","names"
"tasty","European","translated"
"healthy","European","translated"
"both","European","translated"
"tasty","Dutch","translated"
"healthy","Dutch","translated"
"both","Dutch","translated"
"tasty","no association","translated"
"healthy","no association","translated"
"both","no association","translated"
"tasty","European","original"
"healthy","European","original"
"both","European","original"
"tasty","Dutch","original"
"healthy","Dutch","original"
"both","Dutch","original"
"tasty","no association","original"
"healthy","no association","original"
"both","no association","original"
